basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,17,12,55.5,548.04,26309.3125
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,17,18,46.25,639.45,30370.9375
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,18,00,46.25,796.12,19767.5
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,18,06,46.25,809.13,11983.9375
NA,North Atlantic,TD,Tropical Depression,AL022015,2015,06,18,12,37.0,610.35,7273.375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,27,06,55.5,584.9,12446.75
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,27,12,55.5,536.89,12141.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,27,18,55.5,674.55,14266.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,28,00,55.5,510.81,6932.9375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,28,06,55.5,558.29,11129.5
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,29,12,55.5,572.0,9358.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,29,18,55.5,806.0,13145.375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,30,00,46.25,723.24,7844.9375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,30,06,46.25,758.32,4900.0625
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,30,12,46.25,787.82,8863.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,30,18,46.25,1102.28,13316.1875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,31,00,46.25,733.3,8636.0625
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,31,06,46.25,750.99,3744.25
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,31,12,46.25,309.58,3187.4375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,05,31,18,46.25,667.24,7291.375
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,01,00,37.0,566.47,3580.5
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,01,06,37.0,126.46,1795.125
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,01,12,37.0,563.21,7253.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,01,18,37.0,805.5,8207.875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,02,00,37.0,667.75,5527.5
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,02,06,46.25,306.59,3648.6875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,05,00,46.25,87.12,57.1875
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,05,12,46.25,370.58,196.5625
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,05,18,46.25,218.76,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,06,00,46.25,156.95,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,06,06,46.25,95.54,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,06,12,46.25,97.2,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,06,18,46.25,554.06,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,07,00,46.25,196.45,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,07,06,46.25,595.52,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,07,12,55.5,368.22,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,07,18,55.5,709.54,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,08,00,55.5,597.11,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,08,06,46.25,1004.93,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,08,12,46.25,618.16,0.0
NA,North Atlantic,TD,Tropical Depression,AL022016,2016,06,08,18,46.25,565.33,0.0
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,04,12,55.5,466.12,0.0
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,04,18,55.5,477.25,0.0
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,10,06,55.5,591.92,8386.25
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,10,12,55.5,478.46,9974.6875
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,10,18,55.5,633.28,14921.4375
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,11,00,46.25,579.53,4966.875
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,11,06,46.25,441.1,6750.75
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,11,12,46.25,506.68,19910.1875
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,11,18,46.25,578.28,26235.125
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,12,00,46.25,534.57,8198.3125
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,12,06,46.25,402.5,827.0
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,12,12,46.25,523.46,10283.5
NA,North Atlantic,TD,Tropical Depression,AL022018,2018,07,12,18,46.25,670.86,18242.8125
