basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,22,18,55.5,772.7,8850.3125
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,23,00,46.25,1015.45,5123.375
NA,North Atlantic,TD,Tropical Depression,AL012012,2012,05,23,06,46.25,963.69,5329.0
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,05,18,64.75,576.24,34013.3125
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,00,74.0,1015.99,44259.375
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,06,92.5,900.15,36909.6875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,12,101.7,945.88,51037.875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,18,101.7,941.99,55313.5
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,00,74.0,874.44,37742.1875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,06,74.0,825.63,29659.625
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,12,74.0,774.52,17230.6875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,28,18,37.0,486.19,8879.125
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,00,37.0,696.55,4705.5625
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,06,37.0,258.02,2926.0
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,12,37.0,341.14,3449.875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,29,18,46.25,449.89,5763.9375
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,00,46.25,642.76,4242.5625
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,06,46.25,718.78,4524.1875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,12,46.25,571.98,4362.5
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,18,55.5,675.38,10043.1875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,07,01,00,55.5,847.19,8023.6875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,07,01,06,55.5,684.05,9894.8125
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,01,12,64.75,566.21,9535.3125
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,01,18,74.0,458.27,8744.3125
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,00,83.25,737.97,8687.0625
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,06,92.5,474.85,8833.25
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,12,101.7,925.23,16344.4375
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,18,111.0,911.34,11476.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,00,120.2,1033.68,13346.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,06,129.5,764.2,18060.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,12,148.0,746.56,18315.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,18,148.0,838.5,22303.0625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,04,00,157.2,706.84,16232.3125
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,06,46.25,647.17,16961.125
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,12,46.25,561.44,25167.875
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,18,46.25,659.46,28297.1875
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,07,00,55.5,661.91,15696.4375
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,06,64.75,875.81,15229.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,12,74.0,638.42,19643.3125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,18,74.0,654.08,13919.9375
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,00,74.0,612.56,7867.0625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,06,74.0,375.94,2950.8125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,12,74.0,208.42,4463.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,18,83.25,477.44,5331.3125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,00,92.5,433.05,5426.5
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,06,92.5,209.87,1910.25
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,12,92.5,246.18,3440.125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,18,83.25,675.96,6677.25
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,00,83.25,554.83,5100.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,06,74.0,152.61,3219.875
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,12,64.75,307.29,8673.125
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,10,18,55.5,280.49,8639.5
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,11,00,55.5,437.88,5769.1875
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,00,74.0,873.47,33376.6875
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,06,83.25,995.26,44546.8125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,12,92.5,688.85,56440.0625
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,18,101.7,996.01,42792.4375
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,00,101.7,865.91,39374.125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,06,101.7,927.41,31854.375
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,12,83.25,1053.39,14466.5
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,08,18,83.25,1099.84,5087.5
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,09,00,83.25,1154.95,4500.8125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,09,06,92.5,849.31,211.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,00,120.2,1063.43,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,06,120.2,1210.9,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,12,120.2,1084.32,0.0
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,10,18,111.0,1307.21,0.0
